card_number;name;rarity;magic_ink_color;got;foil
143;TUI;UNCOMMON;SAPPHIRE;4;0
144;DONALD;COMMON;SAPPHIRE;8;0
145;POLOCHON;COMMON;SAPPHIRE;10;0
146;"GRAND-MÈRE TALA";UNCOMMON;SAPPHIRE;8;0
147;HADÈS;LEGENDARY;SAPPHIRE;0;0
148;JASMINE;COMMON;SAPPHIRE;10;0
149;JASMINE;RARE;SAPPHIRE;1;0
150;MALÉFIQUE;COMMON;SAPPHIRE;13;1
151;MALÉFIQUE;RARE;SAPPHIRE;4;0
152;MAURICE;RARE;SAPPHIRE;2;0
153;MERLIN;COMMON;SAPPHIRE;8;1
154;"MICKEY MOUSE";COMMON;SAPPHIRE;13;0
155;MUFASA;COMMON;SAPPHIRE;10;0
156;PHILOCTÈTE;COMMON;SAPPHIRE;8;0
157;"ROBIN DES BOIS";SUPER;SAPPHIRE;0;0
158;SCAR;RARE;SAPPHIRE;3;0
159;TAMATOA;SUPER;SAPPHIRE;1;0
160;TRITON;UNCOMMON;SAPPHIRE;4;0
161;"DÉVELOPPE TON CERVEAU";COMMON;SAPPHIRE;13;1
162;"SI C'EST PAS BAROQUE...";RARE;SAPPHIRE;0;0
163;"LIBÉRÉE, DÉLIVRÉE";RARE;SAPPHIRE;0;0
164;"JE VOLE";UNCOMMON;SAPPHIRE;7;0
165;"TRAVAIL D'ÉQUIPE";COMMON;SAPPHIRE;9;0
166;"PANIER DE NOIX DE COCO";UNCOMMON;SAPPHIRE;7;0
167;"ŒIL DES MOIRES";UNCOMMON;SAPPHIRE;8;0
168;"PLUME EN FORME D'ARÊTE";RARE;SAPPHIRE;0;0
169;"FLEUR AUX PÉTALES D'OR";COMMON;SAPPHIRE;11;0
170;"SCEPTRE D'ARENDELLE";UNCOMMON;SAPPHIRE;5;0
171;ALADDIN;COMMON;STEEL;8;0
172;"LA BÊTE";UNCOMMON;STEEL;8;0
173;"CAPITAINE CROCHET";RARE;STEEL;1;0
174;"CAPITAINE CROCHET";COMMON;STEEL;10;0
175;"CAPITAINE CROCHET";RARE;STEEL;3;0
176;CERBÈRE;COMMON;STEEL;8;0
177;DONALD;UNCOMMON;STEEL;6;0
178;GANTU;LEGENDARY;STEEL;0;0
179;CRÉATURES;COMMON;STEEL;10;1
180;HANS;SUPER;STEEL;1;0
181;HERCULE;COMMON;STEEL;11;0
182;KRISTOFF;COMMON;STEEL;8;0
183;KRONK;UNCOMMON;STEEL;5;0
184;LILO;UNCOMMON;STEEL;6;1
185;MAUI;RARE;STEEL;6;0
186;"MICKEY MOUSE";RARE;STEEL;3;0
187;"PRINCE ERIC";COMMON;STEEL;13;0
188;SIMBA;COMMON;STEEL;9;0
189;SIMBA;RARE;STEEL;4;1
190;SIMBA;UNCOMMON;STEEL;7;0
191;"MONSIEUR STARKEY";UNCOMMON;STEEL;4;2
192;"TE KĀ";LEGENDARY;STEEL;0;0
193;"LA FÉE CLOCHETTE";SUPER;STEEL;0;0
194;"LA FÉE CLOCHETTE";COMMON;STEEL;8;0
195;"CE RÊVE BLEU";SUPER;STEEL;0;0
196;DÉCHIQUETÉ;COMMON;STEEL;10;0
197;"ALLUMEZ LES MÊCHES !";COMMON;STEEL;11;2
198;"TUONS LA BÊTE !";RARE;STEEL;1;0
199;"SENS DESSUS DESSOUS";UNCOMMON;STEEL;7;0
200;"FRACASSER !";UNCOMMON;STEEL;6;0
201;"MIROIR DE LA BÊTE";COMMON;STEEL;7;0
202;"POÊLE À FRIRE";UNCOMMON;STEEL;5;0
203;"TABARD DE MOUSQUETAIRE";RARE;STEEL;3;0
204;"PISTOLET À PLASMA";RARE;STEEL;0;0
205;HADES;ENCHANTED;AMBER;0;0
206;STITCH;ENCHANTED;AMBER;0;0
207;ELSA;ENCHANTED;AMETHYST;0;0
208;MICKEY;ENCHANTED;AMETHYST;0;0
209;GÉNIE;ENCHANTED;EMERALD;0;0
210;MICKEY;ENCHANTED;EMERALD;0;0
211;ALADDIN;ENCHANTED;RUBY;0;0
212;MAUI;ENCHANTED;RUBY;0;0
213;AURORE;ENCHANTED;SAPPHIRE;0;0
214;BELLE;ENCHANTED;SAPPHIRE;0;0
215;SIMBA;ENCHANTED;STEEL;0;0
216;"LA FÉE CLOCHETTE";ENCHANTED;STEEL;0;0
