card_number;name;rarity;magic_ink_color;got;foil
88;PAT;RARE;EMERALD;5;0
89;"PRINCE JEAN";RARE;EMERALD;2;2
90;"LA REINE DE COEUR";COMMON;EMERALD;10;2
91;RATIGAN;COMMON;EMERALD;7;2
92;RAY;COMMON;EMERALD;7;0
93;"LA REINE";SUPER;EMERALD;0;0
94;TIANA;UNCOMMON;EMERALD;8;0
95;VIRANA;COMMON;EMERALD;13;2
96;"BIBBIDI BOBBIDI BOO";RARE;EMERALD;4;0
97;REBONDIR;UNCOMMON;EMERALD;2;0
98;HYPNOTISER;COMMON;EMERALD;12;0
99;IMPROVISER;COMMON;EMERALD;8;0
100;"TACTIQUE DE MEUTE";RARE;EMERALD;4;0
101;"SONNER LA CLOCHETTE";UNCOMMON;EMERALD;8;0
102;"PIÈGE GÉNIAL DE RATIGAN";RARE;EMERALD;3;1
103;BALOO;COMMON;RUBY;7;0
104;BOUN;COMMON;RUBY;11;1
105;"GARDES CARTES";UNCOMMON;RUBY;7;0
106;DONALD;LEGENDARY;RUBY;0;0
107;FÉLICIA;COMMON;RUBY;11;1
108;FIDGET;COMMON;RUBY;12;0
109;"GRAND COQUIN";RARE;RUBY;8;0
110;"MADAME DE TRÉMAINE";SUPER;RUBY;0;0
111;"MADAME DE TRÉMAINE";COMMON;RUBY;11;0
112;LUMIÈRE;RARE;RUBY;4;0
113;MINNIE;UNCOMMON;RUBY;4;0
114;MINNIE;RARE;RUBY;2;0
115;MINNIE;COMMON;RUBY;12;0
116;"MÈRE GOTHEL";UNCOMMON;RUBY;9;0
117;MULAN;COMMON;RUBY;6;0
118;NAMAARI;SUPER;RUBY;4;0
119;"LA REINE DE COEUR";UNCOMMON;RUBY;10;1
120;"LA REINE DE COEUR";UNCOMMON;RUBY;7;0
121;RATIGAN;RARE;RUBY;7;0
122;RAYA;COMMON;RUBY;5;0
123;RAYA;SUPER;RUBY;0;0
124;RAYA;UNCOMMON;RUBY;6;0
125;SCAR;LEGENDARY;RUBY;1;0
126;"SHERE KHAN";RARE;RUBY;2;0
127;TIGROU;COMMON;RUBY;11;1
128;"TUK TUK";RARE;RUBY;4;0
129;"LE MONDE QUI EST LE MIEN";COMMON;RUBY;7;1
130;"VOTRE ROI VOUS INVITE À LA FÊTE";RARE;RUBY;3;0
131;"LA PLUS DIABOLIQUE CONJURATION";UNCOMMON;RUBY;5;0
132;"COMMENT M'AS-TU NOMMÉ ?";COMMON;RUBY;14;2
133;"TU T'ENVOLES";UNCOMMON;RUBY;3;2
134;"CLOCHETTE DU DÎNER";RARE;RUBY;2;0
135;"DAGUE DE PETER PAN";COMMON;RUBY;10;0
136;"L'ÉPÉE DANS L'ENCLUME";UNCOMMON;RUBY;10;0
137;ALICE;LEGENDARY;SAPPHIRE;1;0
138;BASIL;SUPER;SAPPHIRE;3;0
139;BASIL;COMMON;SAPPHIRE;9;0
140;BASIL;COMMON;SAPPHIRE;14;1
141;"LA CHENILLE";UNCOMMON;SAPPHIRE;5;1
142;"BIG BEN";SUPER;SAPPHIRE;0;0
143;"BIG BEN";UNCOMMON;SAPPHIRE;4;2
144;"CRUELLA D'ENFER";COMMON;SAPPHIRE;13;1
145;"CRUELLA D'ENFER";UNCOMMON;SAPPHIRE;7;2
146;"DUKE WEASELTON";COMMON;SAPPHIRE;12;4
147;GASTON;RARE;SAPPHIRE;5;1
148;"GRAND PABBIE";SUPER;SAPPHIRE;3;0
149;FLAVERSHAM;RARE;SAPPHIRE;1;0
150;JAMES;COMMON;SAPPHIRE;10;2
151;JASMINE;COMMON;SAPPHIRE;10;1
152;"JUDY HOPPS";UNCOMMON;SAPPHIRE;5;0
153;"MADAME JUDSON";RARE;SAPPHIRE;5;0
154;"NICK WILDE";UNCOMMON;SAPPHIRE;2;2
155;"BÉBÉ NOI";RARE;SAPPHIRE;1;0
156;"MAÎTRE HIBOU";COMMON;SAPPHIRE;16;1
157;"PRINCE CHARMANT";RARE;SAPPHIRE;2;0
158;"COCO LAPIN";COMMON;SAPPHIRE;9;0
159;SISU;LEGENDARY;SAPPHIRE;1;0
160;NOKK;COMMON;SAPPHIRE;9;0
161;"WINNIE L'OURSON";RARE;SAPPHIRE;1;0
162;"CHUTE DANS LE TERRIER DU LAPIN";RARE;SAPPHIRE;4;0
163;"QUATRE DOUZAINES D'OEUFS";UNCOMMON;SAPPHIRE;8;0
164;"PROJECTILE DE FORTUNE";UNCOMMON;SAPPHIRE;9;0
165;"RIEN À CACHER";COMMON;SAPPHIRE;3;0
166;"ARBALÈTE DE CROC DU DRAGON";UNCOMMON;SAPPHIRE;9;0
167;"MARMITE DE GUMBO";COMMON;SAPPHIRE;8;1
168;"ATELIER DE MAURICE";RARE;SAPPHIRE;3;0
169;"GLACE À L'EAU";COMMON;SAPPHIRE;5;0
170;"BOÎTE DE SARDINES";UNCOMMON;SAPPHIRE;7;1
171;"LA BÊTE";COMMON;STEEL;10;0
172;"LA BÊTE";SUPER;STEEL;1;0
173;"LA BÊTE";LEGENDARY;STEEL;0;0
174;BENJA;COMMON;STEEL;8;0
175;"CHEF BOGO";RARE;STEEL;1;0
176;CENDRILLON;COMMON;STEEL;10;0
177;CENDRILLON;SUPER;STEEL;0;0
178;DONALD;COMMON;STEEL;10;0
179;"ELI LEBOEUF";UNCOMMON;STEEL;7;0
180;DINGO;RARE;STEEL;2;0
181;HERCULE;RARE;STEEL;5;1
182;HERCULE;COMMON;STEEL;12;1
183;JAFAR;UNCOMMON;STEEL;3;0
184;JAFAR;COMMON;STEEL;10;0
185;KRONK;RARE;STEEL;7;0
186;LAWRENCE;UNCOMMON;STEEL;5;2
187;"LI SHANG";UNCOMMON;STEEL;12;0
188;"BALAIS MAGIQUES";COMMON;STEEL;12;0
189;NAMAARI;LEGENDARY;STEEL;0;0
190;PACHA;UNCOMMON;STEEL;10;0
191;"PRINCE NAVEEN";COMMON;STEEL;9;2
192;"LA REINE DE COEUR";RARE;STEEL;1;0
193;"ROBIN DES BOIS";UNCOMMON;STEEL;6;0
194;"LE CHASSEUR";RARE;STEEL;5;0
195;"LE PRINCE";UNCOMMON;STEEL;7;0
196;TIANA;SUPER;STEEL;0;0
197;TIANA;COMMON;STEEL;10;0
198;"FONCE !";COMMON;STEEL;8;1
199;"PERDUE DANS L'HIVER";COMMON;STEEL;8;0
200;"CHOISIR SON COMBAT";UNCOMMON;STEEL;3;0
201;"PLUS ARDENT QUE LE FEU DES VOLCANS";RARE;STEEL;2;0
202;"DERNIER CANON";COMMON;STEEL;9;2
203;"ARMURE DE SOURIS";UNCOMMON;STEEL;6;0
204;HALTÈRES;RARE;STEEL;5;0
205;CENDRILLON;ENCHANTED;AMBER;0;0
206;BLANCHE-NEIGE;ENCHANTED;AMBER;0;0
207;ARTHUR;ENCHANTED;AMETHYST;0;0
208;"MADAME MIME";ENCHANTED;AMETHYST;0;0
209;PAT;ENCHANTED;EMERALD;0;0
210;"LA BÊTE";ENCHANTED;EMERALD;0;0
211;"MADAME DE TRÉMAINE";ENCHANTED;RUBY;0;0
212;"SHERE KHAN";ENCHANTED;RUBY;0;0
213;ALICE;ENCHANTED;SAPPHIRE;0;0
214;SISU;ENCHANTED;SAPPHIRE;0;0
215;HERCULE;ENCHANTED;STEEL;0;0
216;NAMAARI;ENCHANTED;STEEL;0;0
